Comunidades autónomas;Tipo de dato;Periodo;Total
13 Madrid, Comunidad de;Dato base;2019;7.640.980
13 Madrid, Comunidad de;Dato base;2018;7.139.775
13 Madrid, Comunidad de;Dato base;2017;6.699.785
13 Madrid, Comunidad de;Dato base;2016;5.783.137
13 Madrid, Comunidad de;Tasa de variación anual;2022;177,81
13 Madrid, Comunidad de;Tasa de variación anual;2021;26,7
13 Madrid, Comunidad de;Tasa de variación anual;2020;-77,51
13 Madrid, Comunidad de;Tasa de variación anual;2019;7,02
13 Madrid, Comunidad de;Tasa de variación anual;2018;6,57
13 Madrid, Comunidad de;Tasa de variación anual;2017;15,85
13 Madrid, Comunidad de;Tasa de variación anual;2016;14,06
14 Murcia, Región de;Dato base;2022;821.232
14 Murcia, Región de;Dato base;2021;385.228
14 Murcia, Región de;Dato base;2020;279.245
14 Murcia, Región de;Dato base;2019;1.037.818
14 Murcia, Región de;Dato base;2018;1.134.189
14 Murcia, Región de;Dato base;2017;991.209
14 Murcia, Región de;Dato base;2016;924.305
14 Murcia, Región de;Tasa de variación anual;2022;113,18
14 Murcia, Región de;Tasa de variación anual;2021;37,95
14 Murcia, Región de;Tasa de variación anual;2020;-73,09
14 Murcia, Región de;Tasa de variación anual;2019;-8,5
14 Murcia, Región de;Tasa de variación anual;2018;14,42
14 Murcia, Región de;Tasa de variación anual;2017;7,24
14 Murcia, Región de;Tasa de variación anual;2016;22,66
15 Navarra, Comunidad Foral de;Dato base;2022;273.406
15 Navarra, Comunidad Foral de;Dato base;2021;123.614
15 Navarra, Comunidad Foral de;Dato base;2020;146.325
15 Navarra, Comunidad Foral de;Dato base;2019;415.054
15 Navarra, Comunidad Foral de;Dato base;2018;323.730
15 Navarra, Comunidad Foral de;Dato base;2017;333.317
15 Navarra, Comunidad Foral de;Dato base;2016;300.622
15 Navarra, Comunidad Foral de;Tasa de variación anual;2022;121,18
15 Navarra, Comunidad Foral de;Tasa de variación anual;2021;-15,52
15 Navarra, Comunidad Foral de;Tasa de variación anual;2020;-64,75
15 Navarra, Comunidad Foral de;Tasa de variación anual;2019;28,21
15 Navarra, Comunidad Foral de;Tasa de variación anual;2018;-2,88
15 Navarra, Comunidad Foral de;Tasa de variación anual;2017;10,88
15 Navarra, Comunidad Foral de;Tasa de variación anual;2016;23,13
16 País Vasco;Dato base;2022;1.545.013
16 País Vasco;Dato base;2021;668.683
